"","Wt1-1a","Wt1-1b","Wt1-1c","Wt1-2a","Wt1-2b","Wt1-3a","Wt1-3b","Wt1-3c","Wt1-4a","Wt1-4b","Wt1-4c","Wt1-5a","Wt1-5b","Wt1-5c","Wt1-6b","Wt1-6c","Wt2-1a","Wt2-1b","Wt2-1c","Wt2-2b","Wt2-2c","Wt2-3a","Wt2-3b","Wt2-3c","Wt2-4a","Wt2-5a","Wt2-5b","Wt2-5c","Wt2-6a","Wt2-6b","Wt2-6c"
"pdam_00000257",137.770418460883,92.8155512140326,124.160511495525,116.831701690666,207.915814642449,73.1678180367232,125.244841978604,111.195008512069,64.0472682991962,87.4121624508643,58.8234537492762,89.3939927922778,127.726145247788,94.7081173176394,117.111166428869,129.065133912086,139.279706444599,181.8014665053,98.606870357531,134.687360752094,119.533510146354,132.214414263029,97.6482919948895,117.877217292769,74.5710962568648,176.67113200414,133.004598279466,123.733890489013,114.010907966165,100.497085812756,113.767224807267
"pdam_00000258",703.006587351766,625.171413924403,744.963068973151,443.960466424532,872.824257407642,437.766775711242,483.087247631757,539.347751567887,670.032960668514,451.201015003726,426.192570560794,451.496242077454,523.068975776655,517.53403463252,465.22732597842,527.784208319068,520.337213160984,659.705321526659,606.889707252021,683.79736997217,1013.43628167561,583.135153433781,501.891221221045,537.38143177586,420.408064404644,519.975263512185,470.19935448093,529.627306952971,608.413349987663,536.209283363362,488.999475048781
"pdam_00000259",107.574162359868,114.152459539098,121.555745520095,116.831701690666,120.316765833702,111.61192581873,102.879691625282,105.998980076926,118.241110706208,116.978040926892,104.328389668528,125.604217720795,117.994629419385,109.37259999908,106.172211322876,92.7655649993121,132.413805422682,118.800958310394,150.451719720769,186.490191810592,166.307492377536,100.204608704611,121.797869585024,116.721558299703,119.962198326261,112.427084002635,92.4163405885493,98.2932774912719,102.822921670419,138.267802628288,127.07333297186
"pdam_00000260",231.190085773399,359.526905277344,425.445109320331,492.362171410665,374.670630447053,606.424796948435,743.64124924796,892.67768515764,215.543691391526,545.040542340683,421.753064617452,694.783690815932,689.721184338055,503.480572062806,759.292177945415,691.42036024332,720.429185799704,482.403891320995,900.677186977036,756.321333454066,252.059793134704,1287.35087571897,1186.47924681963,968.442236189614,1047.23756917249,640.432853515007,705.611249088248,1156.39149989732,846.557629711381,1097.37421890842,1079.12537214847
"pdam_00000261",287.808065962803,304.050943632176,270.027406119639,383.875591269332,234.301070307735,445.207570765824,518.871488197073,347.09469946758,261.115786142877,359.932433621206,315.204921977254,477.522341244826,397.167489746693,373.944308376744,454.288370872427,470.742028598994,331.034513556705,331.20267165322,411.709097884537,352.259251197784,287.14027980809,446.745547141393,401.092984323095,459.952279240413,357.725113927859,475.80748051115,410.87805477882,398.955067464574,354.286232698596,346.681222199709,373.236334016825
"pdam_00000262",29.2526230978587,22.4037537413182,28.6524257297366,26.7043889578666,28.4960761185083,31.0033127274251,15.6556052473255,50.9210786644055,29.5602776765521,20.5675676354975,21.0876532308726,28.2892382254044,31.0192067030342,15.8865229048944,45.6862242662072,32.8424671115577,24.030653576709,22.5001814981807,26.4307075185135,41.4422648467982,42.8761503785836,40.3601896171352,26.2495408588413,19.6462028821282,28.099253662007,24.0915180005645,36.217214554972,28.9097874974329,22.9087338436686,23.6066980097078,38.5877136773188
"pdam_00000263",0.943633003156732,1.06684541625325,3.47302130057413,3.33804861973332,1.05541022661142,4.96053003638801,3.35477255299832,4.15682274811474,6.15839118261502,8.99831084053015,3.3296294575062,4.5262781160647,4.86575791420144,1.83306033518012,4.50427563187958,1.7285509006083,4.4137935140894,5.40004355956338,3.04969702136694,0,1.2992772841995,0,4.1999265374146,4.62263597226546,3.24222157638543,4.6844618334431,4.3710431359449,0,4.26209001742671,1.3489541719833,3.9918324493778
"pdam_00000264",37.7453201262693,33.0722079038507,39.9397449566025,56.7468265354665,55.9367420104051,76.8882155640142,156.556052473255,66.5091639698358,36.9503470956901,59.1317569520552,45.5049359192514,54.3153373927764,43.1836014885378,53.1587497202234,44.3992883713845,97.9512177011371,49.5325716581144,61.2004936750516,66.0767687962837,62.1633972701972,28.5841002523891,97.4211473517056,58.7989715238044,105.164968369039,49.7140641712432,97.7044896689562,55.5746912998708,76.3218389932229,63.3985890092224,68.7966627711484,48.5672948007633
"pdam_00000265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pdam_00000266",0.943633003156732,0,0,0,1.05541022661142,0,0,0,0,2.57094595443718,1.1098764858354,0,0,1.22204022345341,1.93040384223411,0,0.490421501565489,0.900007259927229,0,0,0,2.78346135290587,0,0,0,0.669208833349015,0.624434733706414,0,0.532761252178339,0.674477085991651,0.665305408229634
"pdam_00000267",3.77453201262693,10.6684541625325,2.6047659754306,3.33804861973332,13.7203329459484,1.240132509097,4.47303007066442,1.03920568702868,6.15839118261502,3.85641893165578,3.3296294575062,5.65784764508088,1.82465921782554,4.88816089381365,1.93040384223411,4.6094690682888,4.4137935140894,13.5001088989084,4.06626269515592,20.7211324233991,5.19710913679801,0,3.14994490306095,3.46697697919909,6.48444315277086,4.01525300009409,0,2.31278299979463,4.26209001742671,3.37238542995825,4.65713785760744
"pdam_00000268",25.4780910852318,27.7379808225844,19.9698724783012,10.0141458592,60.1583829168508,9.92106007277602,15.6556052473255,6.2352341221721,28.3285994400291,21.8530406127161,13.3185178300248,20.3682515222912,14.5972737426043,18.9416234635279,10.2954871585819,23.047345341444,17.1647525547921,45.0003629963615,16.2650507806237,20.7211324233991,33.7812093891871,6.95865338226469,13.6497612465975,18.4905438890618,9.72666472915629,24.0915180005645,18.108607277486,10.4075234990758,19.7121663305985,9.44267920388311,15.9673297975112
"pdam_00000269",392.551329313201,363.794286942357,395.924428265451,380.537542649599,403.166706565561,132.694178473379,243.780138851211,85.2148663363521,338.711515043826,348.363176826239,271.919739029673,256.866283086672,175.775504650527,205.9137776519,173.092877853658,214.916495308965,306.513438478431,426.603441205507,213.478791495686,259.014155292489,211.782197324519,121.080568851406,190.046675818011,204.551641772747,255.054764008987,330.589163674413,189.82815904675,158.425635485932,190.195767027667,124.103783822464,167.656962873868
"pdam_00000270",69.8288422335982,132.288831615403,75.5382132874873,168.571455296533,179.419738523941,177.338948800871,172.21165772058,239.017308016597,121.936145415777,155.54223024345,207.54690285122,156.156595004232,136.849441336916,154.588088266857,154.432307378729,130.217501179159,108.873573347539,98.100791332068,219.57818553842,155.408493175493,109.139291872758,132.214414263029,120.74788795067,117.877217292769,154.545895141039,129.826513669709,159.855291828842,158.425635485932,143.845538088152,139.616756800272,123.746805930712
"pdam_00000271",321.778854076446,463.010910653909,257.871831567629,380.537542649599,259.630915746409,636.187977166763,493.151565290752,293.056003742089,597.363944713656,570.750001885055,710.320950934656,661.968174474463,400.816808182344,501.647511727626,545.660819404841,480.537150369108,396.750994766481,366.302954790382,417.808491927271,341.898684986085,385.885353407252,599.835921551216,600.589494850288,456.485302261214,399.873994420869,519.975263512185,338.443625668876,623.295018444654,501.328338299817,482.925593570022,409.828131469454
"pdam_00000272",84.9269702841059,99.216623711552,90.2985538149274,80.1131668735998,51.7151011039594,73.1678180367232,73.8049961659629,32.2153762978892,57.8888771165811,66.8445948153668,77.6913540084781,61.1047545668735,60.821973927518,64.7681318430308,55.9817114247891,63.380199688971,50.5134146612454,97.2007840721407,84.3749509244853,145.047926963794,49.3725367995811,25.0511521761529,64.0488796955727,72.806516563181,75.6518367823267,82.9818953352778,46.832605027981,27.7533959975356,66.5951565222924,47.8878731054072,52.5591272501411
"pdam_00000273",216.091957722892,209.101701585637,217.063831285883,206.959014423466,72.8233056361878,167.417888728095,168.856885167582,81.0580435882374,184.75173547845,186.393581696696,215.316038252068,162.946012178329,187.939899436031,146.644826814409,150.57149969426,133.098419346839,147.616871971212,155.701255967411,121.987880854678,165.769059387193,128.628451135751,75.1534565284586,142.797502272097,134.056443195698,175.079965124813,161.948537670462,106.778339463797,78.6346219930175,118.80575923577,113.312150446597,105.118254500282
"pdam_00000274",25.4780910852318,17.069526660052,21.7063831285883,20.0282917183999,22.1636147588398,17.361855127358,29.0746954593187,36.3721990460039,20.9385300208911,28.280405498809,19.9777767450372,27.1576686963882,27.3698882673831,21.9967240221614,21.2344422645752,32.8424671115577,18.1455955579231,14.4001161588357,24.3975761709355,0,36.3797639575861,19.4842294703411,24.149577590134,20.8018618751946,22.695551034698,17.3994296670744,24.3529546145501,28.9097874974329,28.236346365452,31.0259459556159,25.2816055127261
"pdam_00000275",212.317425710265,302.984098215922,192.752682181864,285.403156987199,246.965993027072,262.908091928565,246.016653886543,367.878813208154,274.66424674463,357.361487666769,396.225905443238,384.7336398655,342.427713211927,295.733734075726,458.149178556895,389.500136270404,278.559412889198,179.101444725519,344.615763414464,113.966228328695,324.819321049876,378.550743995199,366.443590389424,417.192896496958,442.02287491388,265.675906839559,314.715105788033,342.291883969606,430.471091760098,443.805922582506,494.987223722848
"pdam_00000276",108.517795363024,123.754068285377,118.950979544664,101.810482901866,164.643995351381,147.575768582543,158.792567508587,217.193988588995,165.044883694082,188.964527651133,188.679002592018,155.025025475216,156.312472993721,177.806852512471,166.658198379545,195.902435402274,146.636028968081,124.201001869958,127.070709223622,72.5239634818968,76.6573597677707,154.482105086276,159.597208421755,235.754434585538,180.483667752122,149.23356983683,183.583811709686,165.363984485316,176.34397447103,180.759859045762,170.318184506786
"pdam_00000277",143.432216479823,199.500092839357,169.309788402989,176.916576845866,101.319381754696,179.819213819065,172.21165772058,195.370669161393,184.75173547845,280.233109033653,341.841957637303,193.498389461766,211.052249528488,200.41459664636,207.196679066461,203.392822638243,179.984691074535,138.601118028793,124.021012202256,93.2450959052959,137.723392125147,105.771531410423,156.447263518694,136.367761181831,202.098478261358,173.325087837395,179.212768573741,108.700800990348,174.745690714495,165.921363153946,163.66513042449
"pdam_00000278",0,0,0.868255325143533,0,0,0,2.23651503533221,1.03920568702868,1.231678236523,2.57094595443718,2.2197529716708,3.39470858704853,3.0410986963759,1.22204022345341,0,1.7285509006083,0.980843003130979,1.80001451985446,1.01656567378898,0,0,2.78346135290587,0,1.15565899306636,0,2.67683533339606,0.624434733706414,3.46917449969195,0.532761252178339,2.02343125797495,0.665305408229634
"pdam_00000279",499.181858669911,508.885263552799,413.289534768322,569.137289664532,613.193341661233,455.1286308386,413.755281536459,625.601823591268,389.210322741269,374.07263637061,483.906147824235,461.6803678386,539.490908737085,472.92956647647,490.966043874875,417.156950680137,583.601586862932,543.604384996046,687.19839548135,518.028310584977,549.59429121639,612.361497639292,538.640578423423,422.971191462289,598.730251105842,486.514821844734,606.950561162634,549.285962451225,509.319757082492,484.274547742005,552.868794238826
"pdam_00000280",1334.29706646362,1456.24399318568,1304.11949836559,1754.14454966986,1176.78240267173,1201.688401315,1207.71811907939,873.971982791123,1534.67108270766,1367.74324776058,1569.36535097126,1231.1476475696,1303.41490126671,1255.64632959838,1191.70263860586,1114.33914725882,1340.81238528005,1375.21109316881,1120.25537251546,1253.62851161564,1279.78812493651,1139.82742401496,1220.07865911894,1074.76286355172,1347.68343525088,1410.02301186637,1112.11826073112,1084.69522690368,1099.61922449609,944.267920388311,1052.51315581928
"pdam_00000281",76.4342732556953,75.7460245539806,63.3826387354779,46.7326806762665,65.4354340499079,37.2039752729101,52.5581033303069,43.6466388552047,61.5839118261501,47.5625001570879,77.6913540084781,56.5784764508088,51.0904580991151,60.4909910609439,50.1904998980868,48.3994252170324,49.0421501565489,73.8005953140328,46.7620209942931,20.7211324233991,63.6645869257756,48.7105736758528,35.6993755680241,17.3348848959955,57.2792478494759,52.8674978345722,61.819038636935,48.5684429956873,44.7519451829805,49.9113043633822,29.9387433703335
"pdam_00000282",50.0125491673068,44.8075074826364,50.3588088583249,53.4087779157332,64.3800238232964,59.5263604366561,87.2240863779562,64.4307525957784,57.8888771165811,62.988175883711,56.6037007776054,58.8416155088411,62.6466331453436,64.7681318430308,96.5201921117054,82.9704432291984,78.4674402504783,71.1005735342511,64.0436374487057,62.1633972701972,67.5624187783741,173.966334556617,58.7989715238044,71.6508575701146,34.5836968147779,84.3203130019759,64.941212305467,156.112852486138,62.865827757044,76.2159107170565,75.1795111299486
"pdam_00000283",0.943633003156732,2.1336908325065,1.73651065028707,3.33804861973332,0,0,4.47303007066442,1.03920568702868,1.231678236523,0,1.1098764858354,3.39470858704853,2.43287895710072,1.83306033518012,2.57387178964548,2.3047345341444,0.980843003130979,0.900007259927229,3.04969702136694,0,3.89783185259851,4.17519202935881,4.1999265374146,5.77829496533182,5.40370262730905,3.34604416674507,0.624434733706414,4.62556599958927,4.79485126960505,1.3489541719833,6.65305408229634
"pdam_00000284",18.8726600631346,17.069526660052,15.6285958525836,8.34512154933331,15.8311533991713,22.3223851637461,42.493785671312,17.6664966794876,12.31678236523,23.1385135899347,11.098764858354,41.8680725735985,50.48223835984,27.4959050277018,54.6947755299664,20.7426108072996,72.5823822316924,35.1002831371619,18.2981821282016,31.0816986350986,18.189881978793,34.7932669113234,88.1984572857067,122.499853265035,94.0244257151774,62.9056303348074,34.3439103538528,41.6300939963034,92.700457879031,66.0987544271818,106.448865316741
